,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,Onchocerciasis,,LF,,,Total,
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART + PPQ,AS + AQ,AS+MQ,AS + MQ + PQ,AS + SP,AS + SP + PQ,AT + PG,CQ + PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,CL,D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS + AQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,
Drug,"isoniazid (H or INH), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (H or INH), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S or STR+Lfx+Eto+Cs+PAS,S or STR+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Belgium,126.38,"2,277.59",1.65,0.61,4.84,0.39,"2,411.46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,"2,411.46","2,411.46"
 Belize,0,0,0.63,0.01,0.09,3.65,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.49,0,0,0,0,0,0,0,0,18.49,18.49,268.68,21.33,155.59,0.41,4.07,199.57,51.04,43.38,38.07,134.87,36.73,953.74, , , , , , , , ,0,0,0,0,,0,,0,,,0,976.61,4.37
 Benin,"8,861.17","66,416.18",4.42,0.47,6.31,103.22,"75,391.76","172,668.42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"172,668.42",0,0,0,0,0,0,0,0,0,0,"172,668.42",360.24,4.84,187.47,0.88,126.54,99.66,33.71,9.36,286.06,76.83,0,"1,185.57", , , , , , , , ,0,0,0,0,558.79,558.79,0.02,0.02,,8.02,8.02,"249,812.58","75,391.76"
 Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0.08,0.48,0,0.01,0.62,0.16,0.14,0.12,0.43,0.12,2.99, , , , , , , , ,0,0,0,0,,0,,0,,,0,2.99,0
 Bhutan,2.18,"3,446.75",24.5,1.35,12.1,0.83,"3,487.71",81.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.2,55.22,0,0,0,0,0,0,0,0,55.22,136.42,2.66,0.01,1.33,0.01,0.95,0.8,0.29,0.07,2.09,0.67,0,8.88, , , , , , , , ,0,0,0,0,,0,,0,,,0,"3,633.01","3,487.71"
 Bolivia,491.28,"23,541.30",4.96,0.82,8.29,29.62,"24,076.26",0,0,0,0,0,0,0,8.99,0,0,0,0,0,0,0,0,0,0,8.99,43.49,0,0,0,0,0,0,0,0,43.49,52.48,174.01,15.01,102.78,0.24,2.53,131.85,31.21,26.31,23.99,86.18,22.21,616.3, , , , , , , , ,0,0,0,0,,0,,0,,,0,"24,745.05","24,076.26"
" Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,0,0
 Bosnia and Herzegovina,394.52,"3,748.29",0.07,0.03,0.27,0.61,"4,143.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,0,0,0,0,,0,,0,,,0,"4,143.79","4,143.42"
 Botswana,"19,848.99","18,468.78",0,0,0,57,"38,374.78","2,795.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,795.10",0,0,0,0,0,0,0,0,0,0,"2,795.10","1,699.38",3.96,852.16,3.02,614.59,497.37,184.48,43.61,"1,347.28",420.2,0,"5,666.05", , , , , , , , ,0,0,0,0,126.34,126.34,0,0,,,0,"46,962.26","38,374.78"
 Brazil,"27,303.09","205,527.95",359.64,6.57,57.99,38.88,"233,294.12",0,250.57,0,0,0,0,0,273.05,0,0,0,0,0,0,0,0,0,0,523.62,"1,901.23",0,0,0,0,0,0,0,0,"1,901.23","2,424.85","24,189.12","2,040.11","14,284.24",33.73,350.53,"18,318.23","4,396.89","3,671.43","3,331.65","11,955.00","3,099.36","85,670.28", , , , , , , , ,0,0,0,0,"2,958.97","2,958.97",0,0,,  -   ,0,"324,348.22","233,294.12"
