Bangladesh,SEA,"152,149,102","1,207,620.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,,,"620,000.0","341,000.0",1%,"1,778",4,1.10%,"3,751",8,"3,743",0.22%,99.78%,"242,110.00",544.68,"241,565.32","1,928.93","855,481.27",65.90%,65.90%,"1,741.59","1,180,990.99","89,989.90",,1.40%,339,29.00%,,"1,168.97",29.00%,"179,800",339,0.19%,"318,690.92",144.34,40.88,6.33,97.13,"8,900.10","16,182","6,149",38.00%,"31,518.88","1,296.23","1,184,173.15",,,,,11.07%,19.30%,0.87%,1.70%,28%,4.29%,67.97%,40%,6.26%,53.29%,28.32%,4.38%,67.29%,100.00%,A
Barbados,AMR,"279,569",78.89,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Assumptions,,,4.0,7.0,100%,6,2,100.00%,7,2,5,33.33%,66.67%,5.64,1.88,3.76,21.20,42.39,65.90%,65.90%,19.14,58.52,1.24,0,1.70%,0,13.00%,,,19.40%,1,0,0.00%,13.93,0.00,0.00,0.00,0.00,0.12,0,0,38.00%,1.38,0.06,77.71,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,34.35%,5.32%,60.33%,100.00%,B
Belarus,EUR,"9,490,583","32,962.20",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Efficacy of treatment for HIV+ TB,,72.00%,"9,700.0","6,500.0",93%,"5,153",190,93.00%,"6,045",223,"5,822",3.69%,96.31%,"3,494.80",128.86,"3,365.94",653.46,"17,069.03",65.90%,65.90%,589.99,"23,563.78","2,734.73",507,35.00%,1021,55.00%,"1,448.57","1,856.36",46.23%,"4,485",200,4.46%,"13,868.13",151.68,45.41,7.03,99.24,270.47,404,153,38.00%,"1,371.57",56.41,"24,361.86",,,,,14.08%,20.62%,2.88%,4.78%,25%,3.93%,70.68%,37%,5.74%,57.16%,29.94%,4.64%,65.43%,100.00%,A
Belgium,EUR,"10,895,586","2,794.83",IPT,2HRZE/4HR,,2HRZE/4HR,,Efficacy of treatment for HIV- TB,,88.00%,"1,300.0","1,200.0",89%,969,66,89.00%,"1,068",73,995,6.81%,93.19%,"1,167.16",79.50,"1,087.66",185.15,"2,533.19",65.90%,65.90%,167.17,"3,497.07",29.89,10,1.60%,9,13.00%,625.00,69.23,2.74%,36,19,53.40%,69.61,12.00,3.20,0.50,8.30,2.96,3,1,38.00%,6.88,0.28,"3,676.51",0.00%,7.30%,0.00%,1.20%,14.08%,7.30%,2.88%,1.20%,25%,3.93%,70.68%,37%,5.74%,57.16%,26.67%,4.13%,69.20%,100.00%,A
Belize,AMR,"321,608",544.30,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Efficacy of MDR-TB treatment,,48.00%,120.0,170.0,98%,142,29,98.00%,167,34,133,20.42%,79.58%,137.02,27.98,109.04,89.60,349.11,65.90%,65.90%,80.89,481.95,30.01,,2.20%,,100.00%,,,19.40%,23,0,0.00%,96.09,0.00,0.00,0.00,0.00,2.97,2,1,38.00%,9.50,0.39,563.23,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,33.70%,5.22%,61.08%,100.00%,B
Benin,AFR,"9,199,259","76,239.00",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,Efficacy of XDR-TB treatment,,20.00%,"9,600.0","6,500.0",98%,"3,774",592,98.00%,"6,370",999,"5,371",15.69%,84.31%,"6,467.50","1,014.51","5,452.99","11,899.26","63,958.54",65.90%,65.90%,"10,743.57","88,294.70",29.58,15,0.50%,0,13.00%,"3,000.00",,0.50%,48,9,18.75%,346.89,17.15,4.91,0.76,11.49,2.93,4,2,38.00%,34.31,1.41,"99,056.84",,,,,10.53%,10.45%,1.50%,2.12%,28%,4.37%,67.43%,39%,6.09%,54.59%,28.61%,4.43%,66.96%,100.00%,A
Bermuda,AMR,"65,124",,IPT,2HRZE/4HR,IPT,2HRZE/4HR,,,,,2.0,1.0,,1,0,34.00%,0,0,0,0.00%,100.00%,0.81,0.00,0.81,0.00,0.00,65.90%,65.90%,0.00,0.00,0.18,0,0.00%,0,0.00%,,,19.40%,0,0,0.00%,0.00,0.00,0.00,0.00,0.00,0.02,0,0,38.00%,0.00,0.00,0.00,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,,,,0.00%,B
Bhutan,SEA,"727,641","4,924.34",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,(Estimated) % known HIV status,*for countries lacking data at O3,34.00%,"2,200.0","1,600.0",,,,34.00%,544,125,419,23.00%,77.00%,"1,506.19",346.42,"1,159.77","1,066.19","3,569.43",65.90%,65.90%,962.64,"4,927.60",85.36,5,2.20%,10,35.00%,227.27,28.57,5.86%,129,10,7.75%,262.73,5.08,1.45,0.22,3.41,8.44,12,4,38.00%,25.98,1.07,"5,896.39",,,,,11.07%,19.30%,0.87%,1.70%,28%,4.29%,67.97%,40%,6.26%,53.29%,28.49%,4.41%,67.10%,100.00%,A
Bolivia,AMR,"9,918,242","65,783.80",IPT,2HRZE/4HR,IPT,2HRZE/4HR,,% of TB cases tested for HIV (with known HIV status),,28.00%,,"13,000.0",22%,"1,897",130,22.00%,"2,860",196,"2,664",6.85%,93.15%,"10,478.06",718.05,"9,760.01","3,633.56","49,388.49",65.90%,65.90%,"3,280.66","68,180.76","2,294.96",0,,106,,,,19.40%,0,14,100.00%,"11,613.19","5,359.93",0.00,0.00,0.00,226.97,0,0,38.00%,"1,148.56",47.24,"76,868.59",,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,,,,0.00%,B
"Bonaire, Saint Eustatius and Saba",AMR,,,IPT,2HRZE/4HR,,2HRZE/4HR,,% of TB cases tested for HIV that are HIV+,,23.00%,-,0.0,,0,0,34.00%,0,,0,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00,65.90%,65.90%,0.00,0.00,0.00,0,2.20%,0,100.00%,,,19.40%,,0,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,0,0,38.00%,0.00,0.00,0.00,,,,,5.44%,11.74%,0.83%,2.16%,34%,5.19%,61.26%,41%,6.27%,53.22%,33.70%,5.22%,61.08%,100.00%,B
