Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Brunei Darussalam,1.88,676.9,0,0,0,0.44,679.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.02,0.22,0,0.26,0.23,0.03,0.01,0.34,0.09,0,0,1.76, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,0.01,,0.01,680.98
Bulgaria,8.28,"11,216.19",9.12,1.41,23.96,2.07,"11,261.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.03,0.07,0,0.11,0.07,0,0.03,0.12,0,0,0,0.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"11,261.70"
Burkina Faso,"23,877.96","170,667.28",20.27,3.14,46.08,100.33,"194,715.05","903,061.14",0,0,0,"766,346.25",0,0,0,0,0,0,0,0,0,"1,669,407.38",0,0,0,0,0,0,0,0,"1,669,407.38","1,064.44",13.09,434.79,0,484.23,436.22,57.8,15.14,668.92,190.13,0,0,"3,364.78", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"11,029.25","11,029.25",,73.57,73.57,"3,547,997.42"
Burundi,"75,067.67","387,240.62",30.09,4.66,65.36,38.57,"462,446.96",0,0,0,0,"181,133.06",0,0,0,0,0,0,0,0,0,"181,133.06",0,0,0,0,0,0,0,0,"181,133.06","3,990.95",44.59,"1,627.03",0,"1,808.68","1,663.01",225.4,54.17,"2,492.48",736.05,0,0,"12,642.37", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,856.8,856.8,,,  -   ,"838,212.25"
Cambodia,"9,792.66","213,563.39",3.3,0.51,5.68,60.66,"223,426.20",0,0,0,103.65,0,0,92.89,0,0,0,0,0,0,0,196.55,0,121.01,0,0,0,0,0,121.01,317.55,"1,349.42",28.45,547.75,0,623.49,528.55,64.19,27.32,853.33,213.93,0,0,"4,236.43", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"23,390.05","23,390.05",,,  -   ,"251,566.77"
Cameroon,"56,486.55","112,224.27",5.68,0.88,12.34,79.56,"168,809.28",0,0,0,0,"1,743,596.25",0,0,0,0,0,0,0,0,0,"1,743,596.25",0,0,0,0,0,0,0,0,"1,743,596.25","50,416.99",548.84,"20,579.54",0,"22,857.36","20,941.52","2,831.26",671.63,"31,552.86","9,262.53",0,0,"159,662.52","155,369.93", ,"155,369.93",945.03, ,165.24, ,224.63,"310,739.86",945.03,389.87,"312,074.76","1,469.76","1,469.76",,77.46,77.46,"4,129,286.27"
Canada,291.72,"5,091.64",3.93,0.61,5.12,0.09,"5,393.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.64,1.72,50.79,0.04,3.42,44.09,4.91,7.2,10.59,13.66,7.69,0.03,208.78, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,601.88"
Cape Verde,262.28,"1,342.55",0,0,0,1.13,"1,605.95","1,524.68",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,524.68",0,0,0,0,0,0,0,0,"1,524.68",0.65,0.1,0.22,0,0.34,0.21,0,0.08,0.36,0,0,0,1.95, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"4,657.27"
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
