Disease,"  Active TB/HIV,  Treatment Regimen",  Active TB/HIV- Treatment Regimen,  MDR-TB Treatment Regimen,,,  XDR-TB Treatment Regimen,total impact,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total
Mauritius,26.8,558.23,0,0,0,0.39,585.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.34,0.13,47.88,0,52.03,50.07,7.27,0.75,72.77,23.57,0,0,370.81, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,956.22
Mexico,"20,442.28","138,135.46",77.46,11.99,129.21,29.8,"158,826.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,3.27,3.27,"4,102.19",100.06,"3,302.09",9.7,198.42,"2,797.84",287.9,474.12,672.43,799.22,449.64,5.76,"13,199.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"172,028.86"
Micronesia (Federated States of),0,"1,035.19",0.19,0.03,0.32,0.13,"1,035.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,0.02,,0.02,"1,035.87"
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Mongolia,9.73,"31,629.29",39.93,6.18,70.43,9.94,"31,765.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.19,0,4.62,0,5.01,4.79,0.69,0.06,7.04,2.25,0,0,35.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"31,801.17"
Montenegro,2.55,324.21,0,0,0,0.21,326.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.04,0.1,0,0.16,0.09,0,0.03,0.17,0,0,0,0.9, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,327.88
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Morocco,"13,751.55","244,892.44",23.67,3.67,35.96,97.22,"258,804.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.34,3.9,196.73,0,217.26,202.81,28.13,5.49,300.6,91.59,0,0,"1,527.85", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"260,332.35"
Mozambique,"269,763.20","268,219.93",26.53,4.11,55.25,174.47,"538,243.47","1,898,361.00",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,898,361.00",0,0,0,0,0,0,0,0,"1,898,361.00","90,335.19","1,592.50","36,545.91",0,"41,237.47","37,089.98","4,825.16","1,646.07","56,182.58","15,784.46",0,0,"285,239.32","8,580.66", ,,215.59, ,176.89, ,222.94,"8,580.66",215.59,399.83,"9,196.07",299.53,299.53,,167.56,167.56,"4,629,867.95"
Myanmar,"196,836.66","947,951.89",51.91,8.04,114.69,805.94,"1,145,769.12","13,714.72",0,"14,093.59","14,093.59",0,0,0,0,0,0,0,0,0,0,"41,901.91","18,783.38",0,0,0,0,0,0,"18,783.38","60,685.29","8,491.01",99.22,"3,450.64",0,"3,847.44","3,563.43",486.2,119.1,"5,279.54","1,579.92",0,0,"26,916.49", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,232.85,,232.85,"1,275,505.65"
Namibia,"18,604.46","23,439.42",40.1,6.21,85.88,19.74,"42,195.80","6,231.42",0,0,0,0,0,0,0,0,0,0,0,0,0,"6,231.42",0,0,0,0,0,0,0,0,"6,231.42","11,112.94",184.33,"4,532.85",0,"5,111.34","4,401.96",552.47,188.96,"7,045.76","1,836.89",0,0,"34,967.50", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,26.57,26.57,,,  -   ,"89,652.71"
Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Nepal,0,"439,035.46",103.47,16.02,195.81,154.09,"439,504.85",359.59,0,0,0,0,0,0,0,0,0,0,0,0,0,359.59,"1,223.82",0,0,0,0,0,0,"1,223.82","1,583.41","1,661.94",12.95,678.44,0,748.68,705.86,98.89,18.75,"1,034.29",320.76,0,0,"5,280.57",307.55, , ,"1,490.93", ,35.34, , ,307.55,"1,490.93",35.34,"1,833.81",,  -   ,236.37,,236.37,"448,798.59"
Netherlands,314,"3,650.85",1.67,0.26,4.42,0.25,"3,971.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0.8,1.96,0,3.05,1.79,0,0.61,3.28,0,0,0,17.29, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,988.74"
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0
New Zealand,9.62,882.97,0,0,0,0.02,892.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0.02,1.07,0,1.18,1.09,0.15,0.03,1.64,0.49,0,0,8.27, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,900.89
Nicaragua,510.17,"17,940.98",2.98,0.46,5.18,1.96,"18,461.72",0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,3.21,26.45,0,0,0,0,0,0,26.45,29.66,199.26,4.86,160.09,0.26,9.63,138.45,14.06,21.58,31.48,39.01,21.93,0.15,640.76, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"19,135.35"
Niger,"16,490.38","281,398.34",18.95,2.93,43.09,205.52,"298,159.22","793,015.29",0,0,0,0,0,0,0,0,0,0,0,0,0,"793,015.29",0,0,0,0,0,0,0,0,"793,015.29","3,280.90",27.39,"1,341.66",0,"1,481.75","1,377.71",190.22,37.92,"2,051.43",620.32,0,0,"10,409.31", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,117.47,117.47,,  -   ,  -   ,"1,894,716.58"
Nigeria,"408,588.52","1,905,896.80",5.64,0.87,12.21,384.32,"2,314,888.36","11,699,762.36",0,0,0,"9,543,742.71",0,0,0,0,0,0,0,0,0,"21,243,505.07",0,0,0,0,0,0,0,0,"21,243,505.07","132,055.87","1,794.44","53,604.36",0,"59,917.05","55,113.30","7,418.62","2,034.16","82,057.26","24,158.63",0,0,"418,153.71", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"23,328.37","23,328.37",,  -   ,  -   ,"45,243,380.59"
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Norway,161.03,824.31,1.36,0.21,3.18,0.08,990.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.06,0.15,0,0.23,0.13,0,0.05,0.25,0,0,0,1.3, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,991.47
Oman,23.41,"2,765.36",0.42,0.07,0.55,1.81,"2,791.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.69,0.09,11.01,0,12.01,11.21,1.58,0.21,16.83,5.16,0,0,84.79, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,876.41"
Pakistan,"8,160.97","2,787,523.69",88.71,13.73,270.62,"1,571.45","2,797,629.18",0,"13,126.77",0,0,0,0,0,0,0,0,0,0,0,0,"13,126.77","31,704.19",0,0,0,0,0,0,"31,704.19","44,830.96",115.3,0.84,47.04,0,51.85,49.31,6.97,1.27,71.57,22.55,0,0,366.7, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,855,953.62"
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0
Panama,886.69,"7,445.32",2.35,0.36,4.11,5.68,"8,344.51",0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,1.13,20.37,0,0,0,0,0,0,20.37,21.5,78.61,2.04,62.34,0.15,4.04,53.11,5.81,9.15,13.11,16.14,9.09,0.09,253.69, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"8,620.83"
Papua New Guinea,"9,609.83","125,754.58",0,0,0,90.63,"135,455.04","4,801.58",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,801.58",0,0,0,0,855.38,0,0,855.38,"5,656.95","2,510.37",24.27,"1,029.40",0,"1,139.67","1,030.84",138.29,30.82,"1,583.37",455.31,0,0,"7,942.34",8.12, , ,52.87, ,  -   , , ,8.12,52.87,  -   ,60.99,,  -   ,  -   ,,  -   ,"153,916.90"
Paraguay,"1,689.19","12,070.84",1.35,0.21,1.95,6.93,"13,770.47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.05,522.9,12.81,420.85,1.48,25.41,353.84,36.75,61.95,87.02,102.06,57.45,0.88,"1,683.40", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"15,453.92"
Peru,"7,029.11","109,440.66",164.84,25.52,320.38,77.56,"117,058.07",0,0,0,2.92,0,0,0,0,0,0,0,0,0,0,2.92,32.32,0,0,0,0,0,0,32.32,35.24,71.92,0,74.97,3.05,0,33.38,0,20.65,19.13,0,0,1.81,224.92, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"117,321.14"
Philippines,"1,099.40","1,371,679.06",88.43,13.69,164.73,887.58,"1,373,932.88",0,0,0,0,0,0,0,0,0,833.42,0,0,0,0,833.42,730.41,0,0,0,0,0,0,730.41,"1,563.83",200.8,0.37,83.12,0,90.41,83.79,11.76,1.33,127.39,38.66,0,0,637.64,"1,038.89", ,"1,078.19",483.29, ,42.21, ,92.59,"2,117.09",483.29,134.8,"2,735.17","8,142.62","8,142.62",,123.94,123.94,"1,387,969.51"
Poland,"29,043.09",0,8.88,1.38,12,1.2,"29,066.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,0.02,11.89,0,12.91,12.25,1.76,0.17,18.14,5.74,0,0,91.69, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"29,158.25"
Portugal,"1,423.05","10,175.48",6.25,0.97,9.31,0.42,"11,615.48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0.37,0.89,0,1.39,0.82,0,0.28,1.5,0,0,0,7.91, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"11,623.39"
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Qatar,0,"2,131.57",0.84,0.13,1.14,0.07,"2,133.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,0.01,1.14,0,1.25,1.17,0.16,0.02,1.74,0.54,0,0,8.8, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,142.54"
Republic of Korea,"21,727.73","111,220.46",0,0,0,29.82,"132,978.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,1.59,1.59,179.72,0.06,74.34,0,80.62,76.08,10.89,1.02,113.51,35.59,0,0,571.83, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"133,551.43"
Republic of Moldova,724.84,"17,574.25",128.71,19.93,415.93,35.63,"18,899.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.37,1.14,144,0,157.26,149.31,21.31,2.77,219.43,69.28,0,0,"1,114.87", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"20,014.16"
Romania,"1,954.51","94,142.45",94.81,14.68,181.14,19.33,"96,406.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.57,0.32,66.56,0,72.41,66.51,9.27,1.07,102.22,30.55,0,0,509.47, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"96,916.40"
Russia,"28,729.47","979,822.96",0,0,0,660.64,"1,009,213.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,016.95",1.13,"1,657.17",0,"1,797.37","1,721.03",249.38,23.17,"2,522.14",810.66,0,0,"12,799.01", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,022,012.08"
Rwanda,"42,046.28","137,845.15",81.3,12.59,173.16,89.22,"180,247.69","74,834.14",0,0,0,0,0,0,0,0,0,0,0,0,0,"74,834.14",0,0,0,0,0,0,0,0,"74,834.14","4,193.98",96.86,"1,698.78",0,"1,940.07","1,637.30",196.23,91.15,"2,646.84",654.49,0,0,"13,155.71","6,877.73", ,,"3,382.90", ,61.81, ,89.44,"6,877.73","3,382.90",151.25,"10,411.88",223.18,223.18,,,  -   ,"353,706.74"
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Saint Lucia,0,295.7,0,0,0,0.19,295.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.07,0.75,32.29,0.32,1.49,24.86,2.17,5.37,6.76,6.03,3.39,0.19,121.7, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,417.59
Saint Vincent and the Grenadines,18.99,67.75,0,0,0,0.06,86.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.62,1.46,56.19,0.38,2.89,45.26,4.21,8.67,11.49,11.69,6.57,0.23,216.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,303.47
Samoa,0,356.79,0,0,0,0.23,357.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,357.02
San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Sao Tome and Principe,45.49,529.7,0,0,0,0.39,575.58,0,0,0,0,600.45,0,0,0,0,0,0,0,0,0,600.45,0,0,0,0,0,0,0,0,600.45,4.51,0.04,1.84,0,2.03,1.91,0.27,0.05,2.81,0.87,0,0,14.31,17.98, ,25.46,4.53, ,2.37, ,3.16,43.44,4.53,5.53,53.5,5.69,5.69,,  -   ,  -   ,"1,849.98"
Saudi Arabia,619.11,"39,352.62",0,0,0,26.01,"39,997.74",0,87.13,0,0,0,0,0,0,0,0,0,0,0,0,87.13,111.09,0,0,0,0,0,0,111.09,198.22,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"40,283.09"
Senegal,"10,485.86","149,626.38",3.09,0.48,7.95,62.22,"160,185.97","28,473.17",0,0,0,"23,567.81",0,0,0,0,0,0,0,0,0,"52,040.98",0,0,0,0,0,0,0,0,"52,040.98",352.38,52.57,117.83,0,181.99,111.94,0,40.13,192.21,0,0,0,"1,049.05", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"1,901.38","1,901.38",,  -   ,  -   ,"267,218.36"
Serbia,"4,291.82","2,187.40",1.49,0.23,1.93,0.45,"6,483.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.85,0.07,17.26,0,18.78,17.76,2.54,0.28,26.34,8.27,0,0,133.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"6,616.47"
Seychelles,4.49,109.94,0,0,0,0.08,114.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0.05,4.16,0,4.56,4.22,0.59,0.09,6.38,1.92,0,0,32.08,0.68,0.78, ,1.25,1.02,1.29,1.74, ,1.46,2.26,3.03,6.75,,  -   ,,,  -   ,153.34
Sierra Leone,"7,620.11","104,358.89",0,0,0,74.86,"112,053.86","530,299.58",0,0,0,"407,881.84",0,0,0,0,0,0,0,0,0,"938,181.42",0,0,0,0,0,0,0,0,"938,181.42","1,633.05",28.4,659.59,0,744.41,675.94,88.88,29.61,"1,012.05",289.53,0,0,"5,161.47","1,417.29", ,,"1,529.90", ,30.13, ,43.39,"1,417.29","1,529.90",73.52,"3,020.72",43.89,43.89,,  -   ,  -   ,"1,996,642.78"
Singapore,111.4,"3,863.20",0.34,0.05,0.45,0.13,"3,975.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0.62,3.13,0,4.09,3.08,0.25,0.5,4.97,0.81,0,0,25.85, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"4,001.43"
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
Slovakia,3.92,"2,624.13",0.2,0.03,0.56,0.27,"2,629.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,2.97,0,3.21,2.87,0.39,0.04,4.59,1.31,0,0,22.5, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,651.62"
Slovenia,4.35,857.01,0,0,0,0.56,861.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.02,0.04,0,0.06,0.03,0,0.01,0.06,0,0,0,0.34, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,862.25
Solomon Islands,0,"7,282.96",0,0,0,4.7,"7,287.66",663.22,0,0,0,0,0,0,0,0,0,0,0,0,0,663.22,0,0,0,0,459.53,0,0,459.53,"1,122.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.33, ,32.86,18.88,1.9,2.28, ,0.69,51.74,4.18,56.61,,  -   ,,,  -   ,"9,130.24"
Somalia,"17,629.37","292,890.98",0,0,0,91.3,"310,611.65",0,"77,710.13",0,0,0,0,0,0,0,0,0,0,0,0,"77,710.13",0,0,0,0,0,0,0,0,"77,710.13",369.25,1.46,151.18,0,165.37,159.31,22.99,3.18,229.55,74.25,0,0,"1,176.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"2,411.01","2,411.01",,,  -   ,"469,619.44"
South Africa,"383,849.96","386,295.48",860.05,133.15,"1,821.32",628.02,"773,587.98","1,616.16",0,0,0,0,0,0,0,0,0,0,0,"1,353.21","1,463.63","4,432.99",0,0,0,0,0,0,0,0,"4,432.99","47,720.86",408.76,"19,579.51",0,"21,636.35","19,687.82","2,665.48",548.73,"30,088.32","8,761.73",0,0,"151,097.56",173.26, ,220.78,"1,105.08", ,701.41, ,676.72,394.05,"1,105.08","1,378.14","2,877.26",852.1,852.1,,,  -   ,"937,280.88"
South Sudan,0,0,0,0,0,172.71,172.71,0,0,0,0,"8,352.70",0,0,0,0,0,0,0,0,0,"8,352.70",0,"98,926.68",0,0,0,0,0,"98,926.68","107,279.37",105.88,15.78,35.41,0,54.69,33.62,0,12.05,57.78,0,0,0,315.21, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"116,119.99"
Spain,"1,469.97","21,948.44",0,0,0,0.23,"23,418.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.89,0.21,68.53,0,74.48,70.11,9.98,1.05,104.69,32.64,0,0,527.59, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"23,946.23"
Sri Lanka,571.74,"67,379.95",0.67,0.1,1.36,0.57,"67,954.39",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,112.41,0,0,0,0,0,0,112.41,113.41,129.97,0.64,53.32,0,58.45,55.17,7.8,1.19,81.32,25.36,0,0,413.21, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"68,482.01"
Sudan,"6,608.26","298,007.25",7.16,1.11,24.5,198.83,"304,847.11",0,"1,786,332.97",0,0,0,0,0,0,0,0,0,0,0,0,"1,786,332.97",0,"53,190.43",0,"53,190.43",0,0,0,"106,380.86","1,892,713.82","3,535.41",50.63,"1,428.77",0,"1,600.03","1,496.90",204.47,57.06,"2,178.32",660.45,0,0,"11,212.06", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,712.82,712.82,,0.38,0.38,"3,995,819.15"
Suriname,125.66,380.94,0,0,0,0.37,506.97,6.34,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34,12.75,0,0,0,0,0,0,12.75,19.09,589.09,1.07,243.43,0,264.84,247.73,35.04,3.94,372.32,114.79,0,0,"1,872.26", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,404.66"
Swaziland,"17,378.21","5,963.87",87.09,13.48,187.26,23.79,"23,653.70",17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,17.01,0,0,0,0,0,0,0,0,17.01,"8,735.53",88.73,"3,585.93",0,"3,977.36","3,548.78",469.92,109.24,"5,533.92","1,553.43",0,0,"27,602.85",12.62, ,16.08,128.03, ,19.71, ,25.57,28.7,128.03,45.28,202,9.29,9.29,,,  -   ,"51,501.86"
Sweden,97.38,498.49,0.98,0.15,2.44,0.05,599.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0.16,0.39,0,0.6,0.35,0,0.12,0.65,0,0,0,3.4, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,602.89
Switzerland,54.46,278.75,0.22,0.03,0.6,0.05,334.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,1.17,2.84,0,4.42,2.6,0,0.89,4.76,0,0,0,25.09, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,359.2
Syrian Arab Republic,"1,146.87","28,056.97",2.88,0.45,8.98,8.94,"29,225.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"29,225.10"
Tajikistan,642.53,"38,796.01",39.57,6.13,97.73,37.7,"39,619.67",0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,15.57,0,0,0,0,0,0,15.57,15.73,317.18,0.29,130.61,0,141.87,136.39,19.8,1.99,198.57,64.21,0,0,"1,010.92", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"40,646.47"
Tanzania,"145,237.94","360,720.81",0,0,0,376.08,"506,334.83","4,465,519.19",0,0,0,0,0,0,0,0,0,0,0,0,0,"4,465,519.19",0,0,0,0,0,0,0,0,"4,465,519.19","133,710.06","1,887.38","54,376.23",0,"60,852.32","55,089.05","7,292.55","2,090.78","83,537.51","23,886.67",0,0,"422,722.54", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"10,980.87","10,980.87",,31.99,31.99,"9,871,108.61"
Thailand,"36,624.69","292,109.37",1.33,0.21,4.06,224.64,"328,964.29",0,0,0,489.73,0,0,0,0,0,0,0,0,0,0,489.73,679.12,0,0,0,0,0,0,679.12,"1,168.85","32,825.98",397.92,"13,420.95",0,"14,970.70","13,352.72","1,756.87",458.76,"20,710.11","5,793.27",0,0,"103,687.29", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,"434,310.16"
The Former Yugoslav Republic of Macedonia,0,"2,745.55",1.76,0.27,4.89,0.71,"2,753.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0.02,0,0.02,0.01,0,0,0.03,0,0,0,0.14, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"2,753.32"
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,112.56,,112.56,112.56
Togo,"26,855.83","104,605.58",0,0,0,94,"131,555.42","81,426.59",0,0,0,"69,300.34",0,0,0,0,0,0,0,0,0,"150,726.93",0,0,0,0,0,0,0,0,"150,726.93","4,281.68",53.81,"1,747.51",0,"1,947.96","1,756.79",232.86,61.79,"2,687.85",765.27,0,0,"13,535.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"3,009.04","3,009.04",,,  -   ,"449,553.84"
Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0
