Disease,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,,,,HIV,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Company,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,"Guilin Pharmaceutical Co., Ltd.",Artepharm,Sanofi,Sanofi,Sanofi,Sanofi,Sanofi,GlaxoSmithKline,Bayer Healthcare,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Taisho Pharmaceuticals,Pfizer Inc.,"Guilin Pharmaceutical Co., Ltd.",Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,"Gilead Sciences, Inc.",Bristol-Myers Squibb,GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,Merck,GlaxoSmithKline,Merck,Pfizer Inc.
 ,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artemether (AM),Artemisinin + Piperaquine (ART + PPQ),Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Artesunate/Amodiaquine (AS + AQ),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Atovaquone + Proguanil (AT + PG),Chloroquine (CQ),Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),Clarithromycin (CL),Doxycycline (D),Artesunate (AS),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanafir/Ritonavir (ATV/r),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),Ivermectin (IVM),Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Belgium,600.9905492,600.9905492,600.9905492,601.2706809,0.402905606,1.371536294,1.371536294,1.501270828,0.043244845,0.043244845,1.403969927,0.032433634,0.032433634,0.032433634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0.106502554,0.108216839,0.126426315,0.126426315,1.329693331,0.401089005,0.401089005,0.427243069,0.300816754,0.300816754,0.300816754,0,0,0,0,0,0,0,0,0,9.246263566,18.49252713,0,0,0,0,268.6771551,21.32976797,155.5934378,0.409661555,4.073840379,199.5672671,51.03578597,43.38307992,38.06747188,134.8727331,36.73255006,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,18819.3381,18819.3381,18819.3381,18820.08877,0.843761458,2.105720028,2.105720028,36.16720108,11.35382702,11.35382702,10.62109029,8.515370262,8.515370262,8.515370262,172668.4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.2366494,4.836124337,187.470432,0.879285601,126.5381466,99.65512319,33.70694148,9.363975456,286.0578667,76.83019415,0,0,0,0,0,0,0,0,0,558.7890447,0.015785453,4.01052607,4.01052607,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836908909,0.07827444,0.479806618,0.001264382,0.013187168,0.616975053,0.158778812,0.136275215,0.121435861,0.430672868,0.115441708,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,862.2323408,862.2323408,862.2323408,866.3979892,4.435883508,6.854949897,6.854949897,7.127926764,0.090992289,0.090992289,6.923194114,0.068244217,0.068244217,0.068244217,81.20103093,0,0,0,0,0,0,0,0,27.6085598,55.21711959,0,0,0,0,2.659095451,0.014044634,1.330967791,0.005465735,0.95226988,0.8008385,0.292923795,0.072697108,2.086171023,0.666886012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,6008.143007,6008.143007,6008.143007,6008.986896,1.007474282,2.665819015,2.665819015,12.43944951,3.257876832,3.257876832,5.109226639,2.443407624,2.443407624,2.443407624,0,0,0,0,0,8.989215887,0,0,0,21.74726018,43.49452036,0,0,0,2.966441243,174.0085308,15.00532104,102.7789429,0.240555354,2.525760524,131.8475106,31.21203807,26.30890545,23.99104552,86.17946765,22.20535314,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,1035.700731,1035.700731,1035.700731,1035.713086,0.018156244,0.071834238,0.071834238,0.273983097,0.067382953,0.067382953,0.122371453,0.050537215,0.050537215,0.050537215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,9579.444216,9579.444216,9579.444216,9579.444216,0,0,0,18.8096285,6.269876168,6.269876168,4.702407126,4.702407126,4.702407126,4.702407126,2795.09505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699.38441,3.955461549,852.161337,3.016185522,614.5875643,497.3679026,184.4842338,43.61044079,1347.284092,420.1968266,0,0,0,0,0,0,0,0,0,126.3382164,0,0,0,0
Brazil,58207.76059,58207.76059,58207.76059,58268.89933,62.45328558,74.05064089,74.05064089,86.88213147,4.277163528,4.277163528,77.25851354,3.207872646,3.207872646,3.207872646,125.2862582,0,0,0,0,273.0474326,0,0,0,950.6139569,1901.227914,0,0,0,90.10565275,24189.12135,2040.105709,14284.24153,33.73042295,350.5315312,18318.23257,4396.885595,3671.431708,3331.647302,11954.9958,3099.359604,0,0,0,0,0,0,0,0,2958.966531,0,0,0,0
